algorithm,layer,utility,mean_violation,cvar,power_violation
scenario_adaptive_unfolded,6,-707.1597900390625,57.430660247802734,387.88629150390625,0.0
scenario_adaptive_unfolded,7,-379.1774597167969,6.392857074737549,57.665931701660156,0.0
scenario_adaptive_unfolded,8,-100.67320251464844,1.5866432189941406,16.65032196044922,0.0
risk_neutral_pgd,1,25.71601104736328,40264.4765625,478151.9375,2.554484801464696e-08
risk_neutral_pgd,2,47.875247955322266,43243.8828125,514191.875,0.0
risk_neutral_pgd,3,49.61039352416992,46837.35546875,557018.6875,0.0
risk_neutral_pgd,4,51.241703033447266,40557.46484375,481589.0,0.0
risk_neutral_pgd,5,52.90969467163086,41017.18359375,486690.0,0.0
risk_neutral_pgd,6,51.54917526245117,38154.76953125,452690.09375,0.0
risk_neutral_pgd,7,51.91838455200195,46848.11328125,557477.625,0.0
risk_neutral_pgd,8,50.718841552734375,47385.27734375,563311.4375,0.0
risk_neutral_pgd,9,53.618255615234375,42149.71875,498856.375,0.0
risk_neutral_pgd,10,50.92997360229492,54125.91796875,643084.875,0.0
wideband_pgd,1,-18941.103515625,263.5699462890625,1875.8072509765625,1.9868215517249155e-08
wideband_pgd,2,-6142048.0,60133.65625,655007.75,0.0
wideband_pgd,3,-3716835.25,36597.27734375,395986.625,0.0
wideband_pgd,4,-4267468.5,42008.203125,454669.78125,0.0
wideband_pgd,5,-4126727.0,40653.29296875,439617.3125,0.0
wideband_pgd,6,-4161959.5,41007.57421875,443356.96875,0.0
wideband_pgd,7,-4153288.75,40928.7578125,442420.9375,0.0
wideband_pgd,8,-4155544.25,40954.19140625,442655.1875,0.0
wideband_pgd,9,-4155036.25,40951.296875,442597.0625,0.0
wideband_pgd,10,-4155199.5,40954.234375,442612.0,0.0
scenario_adaptive_unfolded,1,-2664.63671875,263.5699462890625,1875.8072509765625,1.9868215517249155e-08
scenario_adaptive_unfolded,2,-73613.75,466.55517578125,5145.11083984375,0.0
scenario_adaptive_unfolded,3,-1761.770263671875,466.5271911621094,5144.775390625,0.0
scenario_adaptive_unfolded,4,-37103.3984375,399.0145568847656,4350.4296875,0.0
scenario_adaptive_unfolded,5,-249922.640625,2213.494384765625,26526.21875,0.0
scenario_adaptive_unfolded,6,-15054.9423828125,1165.7476806640625,13955.1552734375,0.0
scenario_adaptive_unfolded,7,-19347.6875,232.44313049316406,2787.8125,0.0
scenario_adaptive_unfolded,8,-4195.83740234375,48.4040412902832,580.8485107421875,0.0
risk_neutral_pgd,1,28.67350196838379,191876.640625,2233263.75,1.419158213167293e-08
risk_neutral_pgd,2,49.9763298034668,184145.109375,2143677.0,0.0
risk_neutral_pgd,3,48.92606735229492,151882.265625,1770542.0,0.0
risk_neutral_pgd,4,53.604427337646484,134091.328125,1546693.375,0.0
risk_neutral_pgd,5,52.292545318603516,135583.484375,1561659.25,0.0
